sourceid-year-oa,source_id,source_title,journal_name,issn_print,issn_e,parent_publisher,oa_status,pub_year,n_doi,apc_lower_total,apc_lower,apc_lower_source,apc_upper_total,apc_upper,apc_upper_source,notes
11862_2017_hybrid,11862,International Journal of Heritage Studies,International Journal of Heritage Studies,1352-7258,1470-3610,Taylor & Francis,hybrid,2017,6,17700,2950,Matthias: actual,17700,2950,Matthias: actual,
11862_2018_hybrid,11862,International Journal of Heritage Studies,International Journal of Heritage Studies,1352-7258,1470-3610,Taylor & Francis,hybrid,2018,5,14750,2950,Matthias: actual,14750,2950,Matthias: actual,
11870_2015_hybrid,11870,International Journal of Human Resource Management,The International Journal of Human Resource Management,0958-5192,1466-4399,Taylor & Francis,hybrid,2015,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11870_2016_hybrid,11870,International Journal of Human Resource Management,The International Journal of Human Resource Management,0958-5192,1466-4399,Taylor & Francis,hybrid,2016,3,8850,2950,Matthias: actual,8850,2950,Matthias: actual,
11870_2017_hybrid,11870,International Journal of Human Resource Management,The International Journal of Human Resource Management,0958-5192,1466-4399,Taylor & Francis,hybrid,2017,8,23600,2950,Matthias: actual,23600,2950,Matthias: actual,
11870_2018_hybrid,11870,International Journal of Human Resource Management,The International Journal of Human Resource Management,0958-5192,1466-4399,Taylor & Francis,hybrid,2018,4,11800,2950,Matthias: actual,11800,2950,Matthias: actual,
11871_2016_hybrid,11871,International Journal of Human-Computer Interaction,International Journal of Human-Computer Interaction,1044-7318,1532-7590,Taylor & Francis,hybrid,2016,4,11800,2950,Matthias: actual,11800,2950,Matthias: actual,
11871_2017_hybrid,11871,International Journal of Human-Computer Interaction,International Journal of Human-Computer Interaction,1044-7318,1532-7590,Taylor & Francis,hybrid,2017,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
11871_2018_hybrid,11871,International Journal of Human-Computer Interaction,International Journal of Human-Computer Interaction,1044-7318,1532-7590,Taylor & Francis,hybrid,2018,3,8850,2950,Matthias: actual,8850,2950,Matthias: actual,
11878_2016_hybrid,11878,International Journal of Hyperthermia,International Journal of Hyperthermia,0265-6736,1464-5157,Taylor & Francis,hybrid,2016,7,20650,2950,Matthias: actual,20650,2950,Matthias: actual,
11878_2017_hybrid,11878,International Journal of Hyperthermia,International Journal of Hyperthermia,0265-6736,1464-5157,Taylor & Francis,hybrid,2017,10,29500,2950,Matthias: actual,29500,2950,Matthias: actual,
11878_2018_hybrid,11878,International Journal of Hyperthermia,International Journal of Hyperthermia,0265-6736,1464-5157,Taylor & Francis,hybrid,2018,21,61950,2950,Matthias: actual,61950,2950,Matthias: actual,
11887_2016_hybrid,11887,International Journal of Inclusive Education,International Journal of Inclusive Education,1360-3116,1464-5173,Taylor & Francis,hybrid,2016,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11887_2017_hybrid,11887,International Journal of Inclusive Education,International Journal of Inclusive Education,1360-3116,1464-5173,Taylor & Francis,hybrid,2017,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
11887_2018_hybrid,11887,International Journal of Inclusive Education,International Journal of Inclusive Education,1360-3116,1464-5173,Taylor & Francis,hybrid,2018,4,11800,2950,Matthias: actual,11800,2950,Matthias: actual,
11897_2016_hybrid,11897,International Journal of Injury Control and Safety Promotion,International Journal of Injury Control and Safety Promotion,1745-7300,1745-7319,Taylor & Francis,hybrid,2016,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11897_2018_hybrid,11897,International Journal of Injury Control and Safety Promotion,International Journal of Injury Control and Safety Promotion,1745-7300,1745-7319,Taylor & Francis,hybrid,2018,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11921_2018_hybrid,11921,International Journal of Logistics-research and Applications,International Journal of Logistics Research and Applications,1367-5567,1469-848X,Taylor & Francis,hybrid,2018,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11963_2017_hybrid,11963,International Journal of Mining Reclamation and Environment,"International Journal of Mining, Reclamation and Environment",1748-0930,1748-0949,Taylor & Francis,hybrid,2017,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11963_2018_hybrid,11963,International Journal of Mining Reclamation and Environment,"International Journal of Mining, Reclamation and Environment",1748-0930,1748-0949,Taylor & Francis,hybrid,2018,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11976_2017_hybrid,11976,International Journal of Multilingualism,International Journal of Multilingualism,1479-0718,1747-7530,Taylor & Francis,hybrid,2017,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
11976_2018_hybrid,11976,International Journal of Multilingualism,International Journal of Multilingualism,1479-0718,1747-7530,Taylor & Francis,hybrid,2018,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
11988_2015_hybrid,11988,International Journal of Neuroscience,International Journal of Neuroscience,0020-7454,1563-5279,Taylor & Francis,hybrid,2015,1,2950,2950,Matthias: newer,2950,2950,Matthias: newer,backfilled 2017 fee
11988_2017_hybrid,11988,International Journal of Neuroscience,International Journal of Neuroscience,0020-7454,1563-5279,Taylor & Francis,hybrid,2017,4,11800,2950,Matthias: actual,11800,2950,Matthias: actual,
12000_2018_hybrid,12000,International Journal of Nursing Studies,International Journal of Nursing Studies,0020-7489,1873-491X,Elsevier,hybrid,2018,20,59000,2950,Matthias: actual,59000,2950,Matthias: actual,
12004_2016_hybrid,12004,International Journal of Occupational and Environmental Health,International Journal of Occupational and Environmental Health,1077-3525,2049-3967,Taylor & Francis,hybrid,2016,3,8850,2950,Matthias: newer,8850,2950,Matthias: newer,backfilled 2017 fee
12004_2017_hybrid,12004,International Journal of Occupational and Environmental Health,International Journal of Occupational and Environmental Health,1077-3525,2049-3967,Taylor & Francis,hybrid,2017,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
