sourceid-year-oa,source_id,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
6585_2018_hybrid,6585,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,33,4400,145200
12022_2015_gold,12022,Springer-Nature,2015,gold,MEDICAL AND HEALTH SCIENCES,32,4400,140800
6585_2017_hybrid,6585,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,28,4400,123200
2441_2018_hybrid,2441,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,22,4400,96800
9792_2015_gold,9792,Springer-Nature,2015,gold,NATURAL SCIENCES,22,4400,96800
7309_2015_gold,7309,Taylor & Francis,2015,gold,MEDICAL AND HEALTH SCIENCES,22,4400,96800
3579_2015_gold,3579,Springer-Nature,2015,gold,ENGINEERING AND TECHNOLOGY,21,4400,92400
13331_2018_hybrid,13331,Wiley,2018,hybrid,NATURAL SCIENCES,17,4400,74800
19552_2018_hybrid,19552,Wiley,2018,hybrid,NATURAL SCIENCES,13,4400,57200
19552_2018_hybrid,19552,Wiley,2018,hybrid,AGRICULTURAL SCIENCES,13,4400,57200
2441_2017_hybrid,2441,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,13,4400,57200
9792_2015_gold,9792,Springer-Nature,2015,gold,AGRICULTURAL SCIENCES,11,4400,48400
25457_2018_hybrid,25457,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,11,4400,48400
7309_2015_gold,7309,Taylor & Francis,2015,gold,NATURAL SCIENCES,11,4400,48400
21535_2016_hybrid,21535,Wiley,2016,hybrid,NATURAL SCIENCES,11,4400,48400
25457_2016_hybrid,25457,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,10,4400,44000
19552_2016_hybrid,19552,Wiley,2016,hybrid,AGRICULTURAL SCIENCES,9.5,4400,41800
19552_2016_hybrid,19552,Wiley,2016,hybrid,NATURAL SCIENCES,9.5,4400,41800
3222_2016_hybrid,3222,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,7,4400,30800
3222_2017_hybrid,3222,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,7,4400,30800
13331_2016_hybrid,13331,Wiley,2016,hybrid,NATURAL SCIENCES,7,4400,30800
3726_2016_hybrid,3726,Springer-Nature,2016,hybrid,MEDICAL AND HEALTH SCIENCES,7,4400,30800
25457_2017_hybrid,25457,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,7,4400,30800
19552_2017_hybrid,19552,Wiley,2017,hybrid,AGRICULTURAL SCIENCES,6.5,4400,28600
19552_2017_hybrid,19552,Wiley,2017,hybrid,NATURAL SCIENCES,6.5,4400,28600
13331_2017_hybrid,13331,Wiley,2017,hybrid,NATURAL SCIENCES,4,4400,17600
3726_2017_hybrid,3726,Springer-Nature,2017,hybrid,MEDICAL AND HEALTH SCIENCES,3,4400,13200
3726_2015_hybrid,3726,Springer-Nature,2015,hybrid,MEDICAL AND HEALTH SCIENCES,3,4400,13200
3726_2018_hybrid,3726,Springer-Nature,2018,hybrid,MEDICAL AND HEALTH SCIENCES,3,4400,13200
3222_2018_hybrid,3222,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,3,4400,13200
18108_2018_gold,18108,Springer-Nature,2018,gold,NATURAL SCIENCES,5052,4358,22016616
6985_2018_hybrid,6985,Wiley,2018,hybrid,NATURAL SCIENCES,33,4300,141900
1404_2018_hybrid,1404,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,28,4300,120400
19888_2017_hybrid,19888,Wiley,2017,hybrid,NATURAL SCIENCES,27,4300,116100
9388_2016_hybrid,9388,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,27,4300,116100
1168_2017_hybrid,1168,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,24,4300,103200
19888_2016_hybrid,19888,Wiley,2016,hybrid,NATURAL SCIENCES,23,4300,98900
9388_2017_hybrid,9388,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,23,4300,98900
6985_2017_hybrid,6985,Wiley,2017,hybrid,NATURAL SCIENCES,22,4300,94600
1161_2017_hybrid,1161,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,22,4300,94600
6985_2016_hybrid,6985,Wiley,2016,hybrid,NATURAL SCIENCES,21,4300,90300
